current_name,id,status,arcadia_name,also_known_as,aliases,ig_ids,match_source
Digital Confectioners,561.0,IMPORTED,Digital Confectioners,,,2342,Direct match or manual
Digital Development Management,8312.0,IS INCOMPLETE,Digital Development Management,,,116,Direct match or manual
Digital Entertainment Asset,705.0,ENABLED,Digital Entertainment Asset,,Digital Entertainment Asset (DEA),"2467, 2515",Direct match or manual
Digital Insight Games,962.0,IMPORTED,Digital Insight Games,,,3229,Direct match or manual
Dingaling,9351.0,IS INCOMPLETE,Dingaling,,,3923,Direct match or manual
Dino Patti,8122.0,IS INCOMPLETE,Dino Patti,,,3889,Direct match or manual
Dirt Research Technologies,2702.0,IMPORTED,Dirt Research Technologies,,,3655,Direct match or manual
Discord,370.0,ENABLED,Discord,,,1032,Direct match or manual
Disruptor Beam - Star Trek Timelines (IP sale),1166.0,ENABLED,Disruptor Beam - Star Trek Timelines (IP sale),Star Trek Timelines,Star Trek Timelines (Disruptor Beam),110,Direct match or manual
Divergence Capital,9673.0,IS INCOMPLETE,Divergence Capital,,,1254,Direct match or manual
Dominus Esports,1078.0,IMPORTED,Dominus Esports,,,434,Direct match or manual
Don't Nod Entertainment,711.0,IMPORTED,Don't Nod Entertainment,ENXTPA:ALDNE,Don't Nod Entertainment (ENXTPA:ALDNE),290,Direct match or manual
Donato Gonzalez,9848.0,IS INCOMPLETE,Donato Gonzalez,,,1536,Direct match or manual
Double Jump.Tokyo,746.0,IMPORTED,Double Jump.Tokyo,DJT,Double Jump.Tokyo (DJT),"3923, 2482",Direct match or manual
Double Loop,774.0,IMPORTED,Double Loop,DoubleLoop Games,,"73, 837",Direct match or manual
DoubleDown Interactive,132.0,ENABLED,DoubleDown Interactive,,,1312,Direct match or manual
DoubleU Games,141.0,ENABLED,DoubleU Games,,,4185,Direct match or manual
Dragon Snacks Games,2848.0,IMPORTED,Dragon Snacks Games,,,3982,Direct match or manual
Dragonfly Capital,3568.0,ENABLED,Dragonfly Capital,Dragonfly Capital Partners,,1970,Direct match or manual
Draper & Associates,7859.0,IS INCOMPLETE,Draper & Associates,,,1462,Direct match or manual
Draper Dragon,3475.0,ENABLED,Draper Dragon,,,"3356, 3358",Direct match or manual
Dream Games,2986.0,ENABLED,Dream Games,,,4181,Direct match or manual
DreamCraft,784.0,IMPORTED,DreamCraft,DreamCraft Entertainment,,140,Direct match or manual
DreamQuest,9789.0,IS INCOMPLETE,DreamQuest,,,1973,Direct match or manual
Drecom,10510.0,IS INCOMPLETE,Drecom,,,2780,Direct match or manual
Drepublic,916.0,IMPORTED,Drepublic,,"DRepublic, INC.,Drepublic (Cradles)",1851,Direct match or manual
Dricom,10520.0,IS INCOMPLETE,Dricom,,,2784,Direct match or manual
Drop Fake,1628.0,IMPORTED,Drop Fake,,,1176,Direct match or manual
Drop-In Gaming,1257.0,IMPORTED,Drop-In Gaming,,,308,Direct match or manual
Dunhill Ventures,8442.0,IS INCOMPLETE,Dunhill Ventures,,,3616,Direct match or manual
Dynasty Studios,937.0,IMPORTED,Dynasty Studios,,,4074,Direct match or manual
E-GO APP,2274.0,IMPORTED,E-GO APP,,,2662,Direct match or manual
EMOTAI,1161.0,IMPORTED,EMOTAI,,,99,Direct match or manual
EMURGO,10045.0,IS INCOMPLETE,EMURGO,,,2799,Direct match or manual
ESA Esports,2968.0,IMPORTED,ESA Esports,,,801,Direct match or manual
ESE Entertainment,481.0,IMPORTED,ESE Entertainment,TSXV:ESE,ESE Entertainment (TSXV:ESE),365,Direct match or manual
ESL FACEIT Group,8249.0,IS INCOMPLETE,ESL FACEIT Group,,,3951,Direct match or manual
EX Capital,9294.0,IS INCOMPLETE,EX Capital,,,2781,Direct match or manual
Earlybird Venture Capital,11454.0,IS INCOMPLETE,Earlybird Venture Capital,,,4046,Direct match or manual
Ed Fries,10898.0,IS INCOMPLETE,Ed Fries,,,73,Direct match or manual
Efsun Games,3049.0,IMPORTED,Efsun Games,,,3345,Direct match or manual
Ela Game,502.0,IMPORTED,Ela Game,,,981,Direct match or manual
Electronic Arts,74.0,ENABLED,Electronic Arts,"NASDAQ: EA, EA",Electronic Arts (NASDAQ: EA),4175,Direct match or manual
Eleventh Hour Games,11490.0,ENABLED,Eleventh Hour Games,,,1898,Direct match or manual
EliteGamingLive,2163.0,IMPORTED,EliteGamingLive,,,2409,Direct match or manual
Elixir Games,1038.0,IMPORTED,Elixir Games,,,3479,Direct match or manual
Ellerston Capital,9165.0,IS INCOMPLETE,Ellerston Capital,,,1186,Direct match or manual
Elodie Games,446.0,ENABLED,Elodie Games,,,3131,Direct match or manual
Embracer Group,123.0,ENABLED,Embracer Group,STO: EMBRAC B,Embracer Group (STO: EMBRAC B),"482, 653, 1164, 1635, 2889, 3523, 2283, 2533",Direct match or manual
Emmett Shear,9276.0,IS INCOMPLETE,Emmett Shear,,,"640, 1286",Direct match or manual
Emona Capital,8715.0,IS INCOMPLETE,Emona Capital,,,"3415, 3945, 2367",Direct match or manual
EmptyVessel,1035.0,ENABLED,EmptyVessel,,,4058,Direct match or manual
Enad Global 7,205.0,ENABLED,Enad Global 7,,Enad Global 7 (ST: EG7),"177, 458",Direct match or manual
Encultured AI,2284.0,IMPORTED,Encultured AI,,,2681,Direct match or manual
Engine Gaming & Media,672.0,ENABLED,Engine Gaming & Media,"TSXV:GAME, Engine gaming and media","Engine Media (TSXV:GAME),Engine gaming and media (TSXV: GAME)","2757, 372, 428, 506, 865",Direct match or manual
Enthusiast Gaming,889.0,ENABLED,Enthusiast Gaming,TSX: EGLX,Enthusiast Gaming (TSX: EGLX),1138,Direct match or manual
Epic Games,161.0,ENABLED,Epic Games,,,"564, 2005, 2025, 2772, 3446",Direct match or manual
Era7,1803.0,IMPORTED,Era7,"Era7: Game of Truth, Era7",,1612,Direct match or manual
Eric Baker,10721.0,IS INCOMPLETE,Eric Baker,,,453,Direct match or manual
Eros Resmini,10621.0,IS INCOMPLETE,Eros Resmini,,,373,Direct match or manual
Esports Entertainment Group,1486.0,IMPORTED,Esports Entertainment Group,,,815,Direct match or manual
Ethlas,946.0,IMPORTED,Ethlas,,,1970,Direct match or manual
Eurazeo,329.0,ENABLED,Eurazeo,,,"2677, 4072",Direct match or manual
Everplay,163.0,ENABLED,Everplay,"LON: TM17, Team 17, Team17 Group",Team 17 (LON: TM17),"1698, 4111, 1679",Direct match or manual
Everse Capital,9051.0,IS INCOMPLETE,Everse Capital,,,"1522, 1851",Direct match or manual
Evertwine,2415.0,IMPORTED,Evertwine,,,2982,Direct match or manual
Everyrealm,1888.0,ENABLED,Everyrealm,Republic Realm,,4125,Direct match or manual
Evo,1520.0,IMPORTED,Evo,,,4163,Direct match or manual
Exel by Merak,8746.0,IS INCOMPLETE,Exel by Merak,,,"4160, 4169, 4173, 4174",Direct match or manual
Exnetwork Capital,8075.0,IS INCOMPLETE,Exnetwork Capital,,,1459,Direct match or manual
Expert Dojo,9598.0,IS INCOMPLETE,Expert Dojo,,,"3102, 3923",Direct match or manual
Extra Dimension Games,1129.0,IMPORTED,Extra Dimension Games,,,14,Direct match or manual
Eyeball Games,1019.0,IMPORTED,Eyeball Games,,,3983,Direct match or manual
Ezekiel Elliott,8843.0,IS INCOMPLETE,Ezekiel Elliott,,,2215,Direct match or manual
F2K,1224.0,IMPORTED,F2K,,,249,Direct match or manual
FAAD Network,7964.0,IS INCOMPLETE,FAAD Network,,,2880,Direct match or manual
FOTA,9795.0,IS INCOMPLETE,FOTA,,,1973,Direct match or manual
FYX Gaming,2028.0,IMPORTED,FYX Gaming,,,2129,Direct match or manual
FaZe Clan,671.0,IMPORTED,FaZe Clan,,,"164, 1285, 2829",Direct match or manual
FaZe Media,756.0,ENABLED,FaZe Media,,,3404,Direct match or manual
Fabien Causeur,9857.0,IS INCOMPLETE,Fabien Causeur,,,1536,Direct match or manual
Faculty group,7853.0,IS INCOMPLETE,Faculty group,,,3356,Direct match or manual
Failup Ventures,10694.0,IS INCOMPLETE,Failup Ventures,,,4081,Direct match or manual
Far From Home,2561.0,IMPORTED,Far From Home,,,3348,Direct match or manual
Fast Travel Games,896.0,IMPORTED,Fast Travel Games,,,3023,Direct match or manual
Felix LaHaye,9582.0,IS INCOMPLETE,Felix LaHaye,,,3102,Direct match or manual
Fenbushi Capital,7960.0,IS INCOMPLETE,Fenbushi Capital,,,"2482, 3331, 3356, 3358",Direct match or manual
Fingersoft,11062.0,IS INCOMPLETE,Fingersoft,,,218,Direct match or manual
FireX Capital,10880.0,IS INCOMPLETE,FireX Capital,,,4062,Direct match or manual
Fitchin,2063.0,IMPORTED,Fitchin,,,2213,Direct match or manual
Flex Fantasy,3449.0,IMPORTED,Flex Fantasy,,,3139,Direct match or manual
Flexion Mobile,718.0,IMPORTED,Flexion Mobile,,,"618, 2489",Direct match or manual
Flick Shot,9377.0,IS INCOMPLETE,Flick Shot,,,2482,Direct match or manual
Fnatic,706.0,IMPORTED,Fnatic,,,2491,Direct match or manual
Folius Ventures,8911.0,IS INCOMPLETE,Folius Ventures,,,"1851, 4134",Direct match or manual
ForeVR,3204.0,IMPORTED,ForeVR,ForeVR Games,,"1286, 640, 2419",Direct match or manual
Formless Capital,9425.0,IS INCOMPLETE,Formless Capital,,,1701,Direct match or manual
ForsVC,10756.0,IS INCOMPLETE,ForsVC,,,4152,Direct match or manual
Forte Labs,296.0,ENABLED,Forte Labs,Forte,,1696,Direct match or manual
Founder One,8606.0,IS INCOMPLETE,Founder One,,,3078,Direct match or manual
"Founders, Inc",10391.0,IS INCOMPLETE,"Founders, Inc",,,4055,Direct match or manual
Fourth Revolution Capital,9620.0,IS INCOMPLETE,Fourth Revolution Capital,,,2693,Direct match or manual
Fragbite Group,2602.0,IMPORTED,Fragbite Group,STO: FRAG,Fragbite Group (STO: FRAG),3419,Direct match or manual
Francisco Partners,8682.0,IS INCOMPLETE,Francisco Partners,,,"1601, 2447",Direct match or manual
FreakOut Shinsei Fund,10522.0,IS INCOMPLETE,FreakOut Shinsei Fund,,,"2780, 2784",Direct match or manual
FreeHit Fantasy Sports,3397.0,IMPORTED,FreeHit Fantasy Sports,,,391,Direct match or manual
FreeMind,2419.0,IMPORTED,FreeMind,,,2992,Direct match or manual
Freeaim,2621.0,IMPORTED,Freeaim,,,3470,Direct match or manual
Fruitlab,2173.0,IMPORTED,Fruitlab,,,2425,Direct match or manual
Fruits Games,3030.0,IMPORTED,Fruits Games,,,546,Direct match or manual
Full Stack Ventures,9590.0,IS INCOMPLETE,Full Stack Ventures,,,3102,Direct match or manual
Funganomics,1763.0,IMPORTED,Funganomics,NFT Group,Funganomics (NFT Group),1541,Direct match or manual
