current_name,id,status,arcadia_name,also_known_as,aliases,ig_ids,match_source
Mighty Kingdom,682.0,IMPORTED,Mighty Kingdom,"ASX:MKL, Mighty Kingdom  (ASX:MKL)",,"656, 1004, 1365, 3353",Direct match or manual
Mikael Bourget,8591.0,IS INCOMPLETE,Mikael Bourget,,,260,Direct match or manual
Mind Melt Media,8850.0,IS INCOMPLETE,Mind Melt Media,,,2215,Direct match or manual
MindArk,2330.0,IMPORTED,MindArk,,,2786,Direct match or manual
Mindark Group's Profit Sharing Foundation,8546.0,IS INCOMPLETE,Mindark Group's Profit Sharing Foundation,,,2786,Direct match or manual
Minnesota Vikings,10984.0,IS INCOMPLETE,Minnesota Vikings,,,3956,Direct match or manual
Mint Town,1018.0,ENABLED,Mint Town,,,3230,Direct match or manual
Mirana Ventures,9032.0,IS INCOMPLETE,Mirana Ventures,,,1851,Direct match or manual
Mirrativ,2194.0,IMPORTED,Mirrativ,,,2476,Direct match or manual
Mitsubishi UFJ Bank,10516.0,IS INCOMPLETE,Mitsubishi UFJ Financial Group,"Mitsubishi UFJ Capital, MUFG, Mitsubishi UFJ Bank",Mitsubishi UFJ Capital Hirohisa Kunimitsu,"3100, 3055",Direct match or manual
Mixi,3756.0,ENABLED,Mixi,"MIXI Corporation, MIXI Global Investments",,4135,Direct match or manual
Mizuho Innovation Frontier,11230.0,IS INCOMPLETE,Mizuho Innovation Frontier,,,3055,Direct match or manual
Mobalytics,1268.0,IMPORTED,Mobalytics,,,3951,Direct match or manual
MobilityWare,8634.0,IS INCOMPLETE,MobilityWare,,,3868,Direct match or manual
Modern Times Group,129.0,ENABLED,Modern Times Group,"MTG, MTG-B.ST","Modern Times Group MTG AB (publ),Modern Times Group (MTG)",928,Direct match or manual
Mogul,1344.0,IMPORTED,Mogul,,,501,Direct match or manual
Mokens League,538.0,IMPORTED,Mokens League,,,2003,Direct match or manual
Momentum6,8925.0,IS INCOMPLETE,Momentum6,,,3356,Direct match or manual
MonoAI,1870.0,IMPORTED,MonoAI,,,1769,Direct match or manual
Monster League,2954.0,IMPORTED,Monster League,,,3750,Direct match or manual
Moon Candy,3106.0,IMPORTED,Moon Candy,,,2846,Direct match or manual
Moon Ray,9791.0,IS INCOMPLETE,Moon Ray,,,1973,Direct match or manual
Moon Star Games,3043.0,IMPORTED,Moon Star Games,,,1613,Direct match or manual
MoonPay,339.0,ENABLED,MoonPay,,,2781,Direct match or manual
Moonfire,10384.0,IS INCOMPLETE,Moonfire,,,2882,Direct match or manual
Moonlit S.A.,1279.0,IMPORTED,Moonlit S.A.,WSE:MLT,Moonlit S.A. (WSE:MLT),350,Direct match or manual
Moonveil Entertainment,1025.0,IMPORTED,Moonveil Entertainment,,,4171,Direct match or manual
Morningstar Ventures,8879.0,IS INCOMPLETE,Morningstar Ventures,,,"2666, 3356",Direct match or manual
Motap - Idle King (IP sale),3312.0,ENABLED,Motap - Idle King (IP sale),Idle King,,2523,Direct match or manual
Motorsport Games,709.0,ENABLED,Motorsport Games,NASDAQ: MSGM,Motorsport Games (NASDAQ: MSGM),"694, 2602, 2606, 2607, 3565",Direct match or manual
Mountainside Games,1417.0,IMPORTED,Mountainside Games,,,657,Direct match or manual
Mountaintop Studios,383.0,ENABLED,Mountaintop Studios,,,766,Direct match or manual
Movie Games,490.0,IMPORTED,Movie Games,,,614,Direct match or manual
Moxiang Ruzhi,1113.0,IMPORTED,Moxiang Ruzhi,,,3128,Direct match or manual
Moxy.io,621.0,IMPORTED,Moxy.io,Moxy,,3247,Direct match or manual
Mubert,1733.0,IMPORTED,Mubert,,,1467,Direct match or manual
Mulana Capital,9321.0,IS INCOMPLETE,Mulana Capital,,,2781,Direct match or manual
MyDearest,895.0,IMPORTED,MyDearest,,,4059,Direct match or manual
MyGamez,2984.0,IMPORTED,MyGamez,,,218,Direct match or manual
Myrlid,11190.0,IS INCOMPLETE,Myrlid,,,50,Direct match or manual
Mysten Labs,704.0,ENABLED,Mysten Labs,,,2799,Direct match or manual
N3TWORK Studios,2015.0,ENABLED,N3TWORK Studios,N3tworks platform,N3TWORK,1696,Direct match or manual
NACON,778.0,IMPORTED,NACON,PAR: NACON,NACON (PAR: NACON),109,Direct match or manual
NEA,3608.0,ENABLED,NEA,New Enterprise Associates,,1033,Direct match or manual
NEKCOM Games,2065.0,IMPORTED,NEKCOM Games,,,3891,Direct match or manual
NFT Tech,8222.0,IS INCOMPLETE,NFT Tech,,,2172,Direct match or manual
NFX,428.0,ENABLED,NFX,,,2535,Direct match or manual
NIP Group,1049.0,IMPORTED,NIP Group,NASDAQ: NIPG,NIP Group (NASDAQ: NIPG),3566,Direct match or manual
NOVO Esports,1031.0,IMPORTED,NOVO Esports,,,"3119, 3460",Direct match or manual
NOW,10160.0,IS INCOMPLETE,NOW,,,3100,Direct match or manual
NPU Games,1642.0,IMPORTED,NPU Games,,,1210,Direct match or manual
NVIDIA,3783.0,ENABLED,NVIDIA,,,3281,Direct match or manual
NZXT,1794.0,IMPORTED,NZXT,,,1601,Direct match or manual
Nakana,1230.0,IMPORTED,Nakana,Nakana sp. z o.o,,260,Direct match or manual
Nan Fung Group,11086.0,IS INCOMPLETE,Nan Fung Group,,,721,Direct match or manual
Nanjing Hero,1079.0,IMPORTED,Nanjing Hero,,,746,Direct match or manual
Naver Z,9344.0,IS INCOMPLETE,Naver Z,ZEPETO,,"2300, 1585",Direct match or manual
Nazara Technologies,683.0,ENABLED,Nazara Technologies,NSE: NAZARA,Nazara Technologies (NSE: NAZARA),"786, 920, 1422, 2977, 3774, 3547",Direct match or manual
Ndamukong Suh,8838.0,IS INCOMPLETE,Ndamukong Suh,,,2215,Direct match or manual
Neon Machine,609.0,ENABLED,Neon Machine,,,4154,Direct match or manual
Neowiz,9172.0,IS INCOMPLETE,Neowiz,,,4138,Direct match or manual
NetEase,185.0,ENABLED,NetEase,,,"1033, 2455, 2475, 2780, 2784",Direct match or manual
Netmarble - Iron Throne: The Firstborn (IP sale),3313.0,ENABLED,Netmarble - Iron Throne: The Firstborn (IP sale),Iron Throne: The Firstborn,,1650,Direct match or manual
New Form Capital,9698.0,IS INCOMPLETE,New Form Capital,,,1328,Direct match or manual
Nexon,3112.0,ENABLED,Nexon,TYO: 3659,Nexon (TYO: 3659),4182,Direct match or manual
Next Games,155.0,ENABLED,Next Games,HLSE:NXTGMS,Next Games (HLSE:NXTGMS),908,Direct match or manual
Nexus Venture Partners:,3781.0,ENABLED,Nexus Venture Partners:,,,2659,Direct match or manual
Niantic,39.0,ENABLED,Niantic,Niantic Labs,,1411,Direct match or manual
Nicolas Stehle,9595.0,IS INCOMPLETE,Nicolas Stehle,,,3102,Direct match or manual
Nimble Ventures,10465.0,IS INCOMPLETE,Nimble Ventures,,,68,Direct match or manual
Nitro Games,1057.0,IMPORTED,Nitro Games,STO: NITRO,Nitro Games (STO: NITRO),2856,Direct match or manual
No Gravity Development,2556.0,IMPORTED,No Gravity Development,,,3328,Direct match or manual
No Limit Holdings,9711.0,IS INCOMPLETE,No Limit Holdings,,,3358,Direct match or manual
No Surrender,2560.0,IMPORTED,No Surrender,,,3346,Direct match or manual
Nodwin Gaming,752.0,IMPORTED,Nodwin Gaming,,,4163,Direct match or manual
Noice,883.0,ENABLED,Noice,,,1103,Direct match or manual
Nomura Group,8980.0,IS INCOMPLETE,Nomura Group,,,3356,Direct match or manual
Nordea Bank,11094.0,IS INCOMPLETE,Nordea Bank,,,3523,Direct match or manual
NordicNinja,10464.0,IS INCOMPLETE,NordicNinja,,,1664,Direct match or manual
Norte Ventures,9605.0,IS INCOMPLETE,Norte Ventures,,,2693,Direct match or manual
Nostalgic Modern,7904.0,IS INCOMPLETE,Nostalgic Modern,,,2802,Direct match or manual
Notch Ventures,7878.0,IS INCOMPLETE,Notch Ventures,,,3733,Direct match or manual
OKCoinJapan,9375.0,IS INCOMPLETE,OKCoinJapan,,,2482,Direct match or manual
OKX Blockdream Ventures,7836.0,ENABLED,OKX Blockdream Ventures,"Blockdream Ventures, OKx Blockdream Ventures, OKX Ventures","OKEx Blockdream Ventures,BlockDream Ventures (OKEX),OKx Blockdream Venture,OKX Blockdream Ventures",1612,Direct match or manual
OasisVR,776.0,IMPORTED,OasisVR,,,86,Direct match or manual
Ocean Drive Studio,1068.0,IMPORTED,Ocean Drive Studio,,,2683,Direct match or manual
Oceans Ventures,9862.0,IS INCOMPLETE,Oceans Ventures,,,2274,Direct match or manual
Odyssey Interactive,817.0,IMPORTED,Odyssey Interactive,,,373,Direct match or manual
Offworld Industries,1914.0,IMPORTED,Offworld Industries,,,1862,Direct match or manual
Old Glory Studios,2777.0,IMPORTED,Old Glory Studios,,,3827,Direct match or manual
Omaken Sports,1482.0,IMPORTED,Omaken Sports,,,807,Direct match or manual
Omeda Studios,860.0,IMPORTED,Omeda Studios,,,2171,Direct match or manual
Omers Ventures,3637.0,ENABLED,Omers Ventures,,,3526,Direct match or manual
Omnia Media,1300.0,IMPORTED,Omnia Media,,,4187,Direct match or manual
Omnic.AI,1879.0,IMPORTED,Omnic.AI,,,1791,Direct match or manual
OnChain Studios,1730.0,IMPORTED,OnChain Studios,,,1462,Direct match or manual
Oneiric Gaming,3458.0,IMPORTED,Oneiric Gaming,,,1588,Direct match or manual
Onibi,2471.0,IMPORTED,Onibi,,,3132,Direct match or manual
Orange Cap Games,2696.0,IMPORTED,Orange Cap Games,,,"3640, 4075",Direct match or manual
Orient Hontai Capital,235.0,ENABLED,Orient Hontai Capital,,,68,Direct match or manual
Oshoma Games,3116.0,IMPORTED,Oshoma Games,,,2951,Direct match or manual
OtherSide Entertainment,2367.0,IMPORTED,OtherSide Entertainment,,,2867,Direct match or manual
Ourpalm Co,8629.0,IS INCOMPLETE,Ourpalm Co,,,3245,Direct match or manual
OverActive Media,3219.0,IMPORTED,OverActive Media,,OverActive Media Group,933,Direct match or manual
Overture Games,2571.0,IMPORTED,Overture Games,,,3365,Direct match or manual
Overwolf,317.0,ENABLED,Overwolf,,,"2782, 3102, 4041",Direct match or manual
Ovomind,2156.0,IMPORTED,Ovomind,,,2396,Direct match or manual
OwnersBox,3390.0,IMPORTED,OwnersBox,,,298,Direct match or manual
Ozgur Aksoy,10831.0,IS INCOMPLETE,Ozgur Aksoy,,,2306,Direct match or manual
Ozone Story Tech,2711.0,IMPORTED,Ozone Story Tech,,,3675,Direct match or manual
PG Capital,9150.0,IS INCOMPLETE,PG Capital,,,3923,Direct match or manual
Paidia Gaming,1878.0,IMPORTED,Paidia Gaming,,,1782,Direct match or manual
Paidia esports,2406.0,IMPORTED,Paidia esports,,,2964,Direct match or manual
Panony,10311.0,IS INCOMPLETE,Panony,,,2114,Direct match or manual
Pantera Capital,348.0,ENABLED,Pantera Capital,,,4090,Direct match or manual
Paper Boat Apps,809.0,IMPORTED,Paper Boat Apps,,,3547,Direct match or manual
Paradigm Ventures,3511.0,ENABLED,Paradigm Ventures,Paradigm,,"1986, 4085",Direct match or manual
Parallelz,547.0,ENABLED,Parallelz,,,2158,Direct match or manual
Pareto Holdings,7851.0,IS INCOMPLETE,Pareto Holdings,,,1462,Direct match or manual
Paribu Ventures,8937.0,IS INCOMPLETE,Paribu Ventures,,,2491,Direct match or manual
Paul Della Bitta,10643.0,IS INCOMPLETE,Paul Della Bitta,,,373,Direct match or manual
People Can Fly,845.0,IMPORTED,People Can Fly,,,"661, 1005",Direct match or manual
Perennial,9168.0,IS INCOMPLETE,Perennial,,,1186,Direct match or manual
Perridon Holdings,9313.0,IS INCOMPLETE,Perridon Holdings,,,2781,Direct match or manual
Peter Vesterbacka,11058.0,IS INCOMPLETE,Peter Vesterbacka,,,218,Direct match or manual
Petrock Capital,9200.0,IS INCOMPLETE,Petrock Capital,,,2114,Direct match or manual
Phil Schwarz,9593.0,IS INCOMPLETE,Phil Schwarz,,,3102,Direct match or manual
Phoenix Equity Partners,8463.0,IS INCOMPLETE,Phoenix Equity Partners,,,857,Direct match or manual
Phosphor games,1555.0,IMPORTED,Phosphor games,,,1005,Direct match or manual
Pimax,3833.0,ENABLED,Pimax,,,"512, 3830",Direct match or manual
Pinata,3841.0,ENABLED,Pinata,,PiÃ±ata,3022,Direct match or manual
Pioneer Media Holdings,3233.0,IMPORTED,Pioneer Media Holdings,,,1896,Direct match or manual
Pittsburgh Knights,990.0,IMPORTED,Pittsburgh Knights,,,"2472, 2888",Direct match or manual
Pivot Ventures,9827.0,IS INCOMPLETE,Pivot Ventures,,,2819,Direct match or manual
Place War,590.0,IMPORTED,Place War,,,"1459, 2798",Direct match or manual
Planetarium Labs,972.0,ENABLED,Planetarium Labs,"Planetarium, Nine Chronicles",Nine Chronicles (Planetarium),"1254, 1702, 3962, 3615",Direct match or manual
Platinum Games,1127.0,IMPORTED,Platinum Games,,,8,Direct match or manual
Play AI,2910.0,IMPORTED,Play AI,,,3429,Direct match or manual
Play Magnus,158.0,ENABLED,Play Magnus,OB:PMG,Play Magnus (OB:PMG),"50, 487",Direct match or manual
Play Ventures,100.0,ENABLED,Play Ventures,,,4112,Direct match or manual
PlayJoy Games,500.0,IMPORTED,PlayJoy Games,,,849,Direct match or manual
PlaySide Studios,1387.0,IMPORTED,PlaySide Studios,ASX:PLY,PlaySide Studios (ASX:PLY),586,Direct match or manual
Playcast.io,3177.0,IMPORTED,Playcast.io,,,3182,Direct match or manual
PlayerzPot,3410.0,IMPORTED,PlayerzPot,,,577,Direct match or manual
Playful Studios (The Wildcard Alliance),2892.0,IMPORTED,Playful Studios,Wildcard Alliance,,4085,Direct match or manual
Playmaji,3175.0,IMPORTED,Playmaji,,,2890,Direct match or manual
Playpulse,454.0,IMPORTED,Playpulse,,,2475,Direct match or manual
Playrix,8221.0,IS INCOMPLETE,Playrix,,,"1776, 4130",Direct match or manual
Playstudios,150.0,ENABLED,Playstudios,,,1159,Direct match or manual
Playtika,34.0,ENABLED,Playtika,NASDAQ: PLTK,Playtika (NASDAQ: PLTK),867,Direct match or manual
Playtron,2979.0,IMPORTED,Playtron,,,3283,Direct match or manual
Plot Twist,982.0,IMPORTED,Plot Twist,,,"2369, 3004",Direct match or manual
Plutus.vc,9796.0,IS INCOMPLETE,Plutus.vc,,,1973,Direct match or manual
PokerGo,8340.0,IS INCOMPLETE,PokerGo,,,748,Direct match or manual
Polemos,1963.0,IMPORTED,Polemos,,,1982,Direct match or manual
Polkastarter,10044.0,IS INCOMPLETE,Polkastarter,,,2799,Direct match or manual
PolyDream Studio,2047.0,IMPORTED,PolyDream Studio,,,2177,Direct match or manual
Polychain Capital,3786.0,ENABLED,Polychain Capital,,,4154,Direct match or manual
Polygon Technology,320.0,ENABLED,Polygon Technology,Polygon Studios,"Polygon,Polygon Network,COO of Polygon Network","2491, 2782, 2799, 3763, 2175",Direct match or manual
Polygon Ventures,10304.0,IS INCOMPLETE,Polygon Ventures,,,"2114, 4138",Direct match or manual
Polyslash Spolka Akcyjna,1522.0,IMPORTED,Polyslash Spolka Akcyjna,WSE:PSH,Polyslash SpÃ³lka Akcyjna (WSE:PSH),909,Direct match or manual
Pomerium,2349.0,IMPORTED,Pomerium,,,2832,Direct match or manual
PopReach,673.0,IMPORTED,PopReach,CVE: POPR,PopReach (CVE: POPR),"302, 555, 602, 3148, 3767, 276, 913, 980",Direct match or manual
Portal,3211.0,IMPORTED,Portal,,,4155,Direct match or manual
Potential Ventures,9819.0,IS INCOMPLETE,Potential Ventures,,,2819,Direct match or manual
PowerUp Acquisition,1908.0,IMPORTED,PowerUp Acquisition,,,1847,Direct match or manual
Pragma,686.0,IMPORTED,Pragma,,,3933,Direct match or manual
Pragma CEO Eden Chen,9778.0,IS INCOMPLETE,Pragma CEO Eden Chen,,,3248,Direct match or manual
Presto Labs,9460.0,IS INCOMPLETE,Presto Labs,,,2491,Direct match or manual
PrizePicks,3414.0,IMPORTED,PrizePicks,,,748,Direct match or manual
Pro Game Guides,1371.0,IMPORTED,Pro Game Guides,,,550,Direct match or manual
Project Seed,9783.0,IS INCOMPLETE,Project Seed,,,1973,Direct match or manual
Proletariat,836.0,IMPORTED,Proletariat,,,548,Direct match or manual
Prospect Avenue Capital (PAC),11087.0,IS INCOMPLETE,Prospect Avenue Capital (PAC),,,721,Direct match or manual
Prosus Ventures,3571.0,ENABLED,Prosus Ventures,Naspers Ventures,,2659,Direct match or manual
Protocol Labs,8955.0,IS INCOMPLETE,Protocol Labs,,,2175,Direct match or manual
PullUp Entertainment,811.0,IMPORTED,PullUp Entertainment,"ENXTPA:ALFOC, Focus Home Interactive, Focus Home Entertainment, PullUp",Focus Home Interactive (ENXTPA:ALFOC),"3423, 1084, 3486, 3487",Direct match or manual
Punktid Technologies,1958.0,IMPORTED,Punktid Technologies,,,1971,Direct match or manual
PvP International,2131.0,IMPORTED,PvP International,,,2353,Direct match or manual
Pyro Entertainment,2991.0,IMPORTED,Pyro Entertainment,,,3561,Direct match or manual
QCP Capital,9812.0,IS INCOMPLETE,QCP Capital,,,1982,Direct match or manual
Qatar Sportstech Accelerator,8179.0,IS INCOMPLETE,Qatar Sportstech Accelerator,,,18,Direct match or manual
Qualcomm Inc.,8396.0,IS INCOMPLETE,Qualcomm Inc.,,,251,Direct match or manual
Quality Control,8841.0,IS INCOMPLETE,Quality Control,,,2215,Direct match or manual
Quarks Interactive,1261.0,IMPORTED,Quarks Interactive,,,315,Direct match or manual
Queen Digital Entertainment,1047.0,IMPORTED,Queen Digital Entertainment,,,"3538, 3662",Direct match or manual
REKiNDLED Studios,2818.0,IMPORTED,REKiNDLED Studios,,,3912,Direct match or manual
RIT Capital Partners,9171.0,IS INCOMPLETE,RIT Capital Partners,,,1070,Direct match or manual
Rainmaker Games,3870.0,ENABLED,Rainmaker Games,,,2114,Direct match or manual
Raptor Group,3625.0,ENABLED,Raptor Group,,Raptor,"1522, 4058",Direct match or manual
Raven One Ventures,7854.0,IS INCOMPLETE,Raven One Ventures,,,2802,Direct match or manual
ReBlock,8009.0,IS INCOMPLETE,ReBlock,ReBlock Digital,ReBlock Digital Ltd,1459,Direct match or manual
Ready Player Me,2901.0,ENABLED,Ready Player Me,,,1664,Direct match or manual
ReadyUp,1678.0,IMPORTED,ReadyUp,,,1316,Direct match or manual
Realist Ventures,7984.0,IS INCOMPLETE,Realist Ventures,,,1701,Direct match or manual
Rec Room,688.0,IMPORTED,Rec Room,,,1646,Direct match or manual
Redhill Games,3127.0,IMPORTED,Redhill Games,,,788,Direct match or manual
Reflection Games,625.0,IMPORTED,Reflection Games,,,"3286, 4022",Direct match or manual
Relic Entertainment,3144.0,IMPORTED,Relic Entertainment,,,3415,Direct match or manual
Remedy Entertainment,3114.0,IMPORTED,Remedy Entertainment,HLSE:REMEDY,Remedy Entertainment (HLSE:REMEDY),841,Direct match or manual
Republic Capital,3624.0,ENABLED,Republic Capital,,Republic,890,Direct match or manual
Republic Crypto,10062.0,IS INCOMPLETE,Republic Crypto,,,2062,Direct match or manual
Revo Capital,10818.0,IS INCOMPLETE,Revo Capital,,,4147,Direct match or manual
Rewardify,1145.0,IMPORTED,Rewardify,,,70,Direct match or manual
Rewired.gg,8119.0,IS INCOMPLETE,Rewired.gg,,,1680,Direct match or manual
Reworld,798.0,IMPORTED,Reworld,,,1001,Direct match or manual
Riffraff Games,1935.0,IMPORTED,Riffraff Games,Riffraff,,1921,Direct match or manual
Riot Games,3593.0,ENABLED,Riot Games,,,"837, 2676, 3098, 3975",Direct match or manual
Rival,3445.0,IMPORTED,Rival,,,2849,Direct match or manual
Rivalry,3416.0,IMPORTED,Rivalry,,Rivalry (CVE: RVLY),"2797, 3773, 852",Direct match or manual
Rize.gg,2477.0,IMPORTED,Rize.gg,,,3150,Direct match or manual
Road Studio,497.0,IMPORTED,Road Studio,,,778,Direct match or manual
Robin Jung,9331.0,IS INCOMPLETE,Robin Jung,,,2666,Direct match or manual
Roblox,390.0,ENABLED,Roblox,,,879,Direct match or manual
Rocket Science,2404.0,IMPORTED,Rocket Science,,,4066,Direct match or manual
Rockstar Games,8237.0,IS INCOMPLETE,Rockstar Games,,,2947,Direct match or manual
Rocky Road,940.0,IMPORTED,Rocky Road,,,1767,Direct match or manual
Root Ventures,10750.0,IS INCOMPLETE,Root Ventures,,,4070,Direct match or manual
Rooter,720.0,IMPORTED,Rooter,,,2819,Direct match or manual
Rosebud AI,2734.0,IMPORTED,Rosebud AI,,,3718,Direct match or manual
Roseon Finance,10277.0,IS INCOMPLETE,Roseon Finance,,,1459,Direct match or manual
Round 13 Digital Asset Fund,7862.0,IS INCOMPLETE,Round 13 Digital Asset Fund,,,2782,Direct match or manual
Rundisc,2628.0,IMPORTED,Rundisc,,,3486,Direct match or manual
SBI Mutual Fund,8372.0,IS INCOMPLETE,SBI Mutual Fund,,,"2977, 3774",Direct match or manual
SCUTI,460.0,IMPORTED,SCUTI,,,"2613, 3232",Direct match or manual
SG Spring Limited Partnership Fund,9831.0,IS INCOMPLETE,SG Spring Limited Partnership Fund,,,2198,Direct match or manual
SKonec Entertainment,1866.0,IMPORTED,SKonec Entertainment,,,1752,Direct match or manual
SMBC Venture Capital,10517.0,IS INCOMPLETE,SMBC Venture Capital,,,"2780, 2784",Direct match or manual
STYNGR,1574.0,IMPORTED,STYNGR,,,1042,Direct match or manual
Sacriel,9777.0,IS INCOMPLETE,Sacriel,,,3248,Direct match or manual
Sad Owl Studios,3336.0,IMPORTED,Sad Owl Studios,,,3889,Direct match or manual
Saehan Venture Capital,7940.0,IS INCOMPLETE,Saehan Venture Capital,,,3864,Direct match or manual
Saga VC,11022.0,IS INCOMPLETE,Saga VC,,,4011,Direct match or manual
Salesforce Ventures,8455.0,IS INCOMPLETE,Salesforce Ventures,,,593,Direct match or manual
Sam Yagan,9586.0,IS INCOMPLETE,Sam Yagan,,,3102,Direct match or manual
Sandbox VR,925.0,ENABLED,Sandbox VR,,Sandbox,3843,Direct match or manual
Sawada Investment,10512.0,IS INCOMPLETE,Sawada Investment,,,"2780, 2784",Direct match or manual
Scoutli,2965.0,IMPORTED,Scoutli,,,2994,Direct match or manual
Scriptic,1016.0,ENABLED,Scriptic,,,2882,Direct match or manual
Scytale Ventures,10932.0,IS INCOMPLETE,Scytale Ventures,,,2425,Direct match or manual
Sebastien Borget,8903.0,IS INCOMPLETE,Sebastien Borget,,,2782,Direct match or manual
Seeker,11342.0,IS INCOMPLETE,Seeker,,,3728,Direct match or manual
Selini Capital,9035.0,IS INCOMPLETE,Selini Capital,,,3356,Direct match or manual
Semper Fortis Esports,1556.0,IMPORTED,Semper Fortis Esports,OFEX:SEMP,Semper Fortis Esports (OFEX:SEMP),1006,Direct match or manual
Seoul Investment Partners,10157.0,IS INCOMPLETE,Seoul Investment Partners,,,475,Direct match or manual
Sequoia Capital,421.0,ENABLED,Sequoia Capital,,,"1500, 1646, 4143",Direct match or manual
Sercan Akkas,8780.0,IS INCOMPLETE,Sercan Akkas,,,2994,Direct match or manual
Sett,1055.0,IMPORTED,Sett,,,4011,Direct match or manual
Setting Labs,1533.0,IMPORTED,Setting Labs,,,944,Direct match or manual
SeventySix Capital,9532.0,IS INCOMPLETE,SeventySix Capital,,,3788,Direct match or manual
Sfermion,411.0,ENABLED,Sfermion,,,"1254, 4121",Direct match or manual
Shanghai Leide Investment Management Co.,8279.0,IS INCOMPLETE,Shanghai Leide Investment Management Co.,,,1459,Direct match or manual
Shasta Ventures,10153.0,IS INCOMPLETE,Shasta Ventures,,,475,Direct match or manual
Sherwa,2043.0,IMPORTED,Sherwa,,,2172,Direct match or manual
Shift Up,725.0,IMPORTED,Shift Up,"ShiftUp, KRX:462870",Shift Up (KRX:462870),"2192, 3527",Direct match or manual
Shifty Eye Games,2546.0,IMPORTED,Shifty Eye Games,,,3304,Direct match or manual
Shima Capital,412.0,ENABLED,Shima Capital,,,2114,Direct match or manual
Shortcake - Welcome to Bloxburg (IP sale),3503.0,ENABLED,Shortcake - Welcome to Bloxburg (IP sale),Welcome to Bloxburg,,2533,Direct match or manual
Shotcall,771.0,IMPORTED,Shotcall,,,53,Direct match or manual
SideFX,1375.0,IMPORTED,SideFX,,,564,Direct match or manual
SignalFire,3693.0,ENABLED,SignalFire,,,2823,Direct match or manual
Silver Lining Studio,2472.0,IMPORTED,Silver Lining Studio,,,3135,Direct match or manual
Simfabric,1191.0,IMPORTED,Simfabric,WAR: SIM,Simfabric (WAR: SIM),157,Direct match or manual
Simplex Equity,11128.0,IS INCOMPLETE,Simplex Equity,,,3788,Direct match or manual
Simulation Theory,2771.0,IMPORTED,Simulation Theory,,,3805,Direct match or manual
Sino Global Capital,8174.0,IS INCOMPLETE,Sino Global Capital,,,2781,Direct match or manual
Sino-Entertainment Technology,1246.0,IMPORTED,Sino-Entertainment Technology,SEHK:6933,Sino-Entertainment Technology Holdings Limited (SEHK:6933),287,Direct match or manual
Sisu Game Ventures,104.0,ENABLED,Sisu Game Ventures,,,"4058, 1767",Direct match or manual
Six Wings Studios,1463.0,IMPORTED,Six Wings Studios,,,761,Direct match or manual
Skillz,392.0,ENABLED,Skillz,,Skillz (NYSE: SKLZ),"1631, 1110",Direct match or manual
Sky Mavis,696.0,ENABLED,Sky Mavis,,,1986,Direct match or manual
SkyVision Capital,3734.0,ENABLED,SkyVision Capital,,,1254,Direct match or manual
Skybound Entertainment,769.0,ENABLED,Skybound Entertainment,Skybound,,"46, 2081, 2592",Direct match or manual
Skycatcher,10293.0,IS INCOMPLETE,Skycatcher,,,4138,Direct match or manual
Skymap,2208.0,IMPORTED,Skymap,,,2510,Direct match or manual
Small Giant Games,133.0,ENABLED,Small Giant Games,,,218,Direct match or manual
Smart Study Ventures,10487.0,IS INCOMPLETE,Smart Study Ventures,,,"3881, 4051",Direct match or manual
Smilegate Investment,11491.0,ENABLED,Smilegate Investment,Smilegate,,"1237, 2192",Direct match or manual
SnackClub,1995.0,IMPORTED,SnackClub,,,2693,Direct match or manual
Snackbar Studio,2757.0,IMPORTED,Snackbar Studio,,,3769,Direct match or manual
Snail,2186.0,IMPORTED,Snail,,,2449,Direct match or manual
Snoot Entertainment,11300.0,IS INCOMPLETE,Snoot Entertainment,,,144,Direct match or manual
Snowprint,859.0,IMPORTED,Snowprint,,Snowprint Studios,842,Direct match or manual
Social First,3115.0,IMPORTED,Social First,,,3859,Direct match or manual
SoftBank,325.0,ENABLED,SoftBank,,Softbank's SB Fund,1585,Direct match or manual
Sonix,11473.0,ENABLED,Sonix,,,3990,Direct match or manual
Sony Group Corporation,61.0,ENABLED,Sony Group Corporation,"Sony Group, Sony, TYO: 6758",Playstation,"770, 902, 1032",Direct match or manual
Sony Innovation Fund,9282.0,IS INCOMPLETE,Sony Innovation Fund,,,"1769, 2882",Direct match or manual
Sorare,334.0,ENABLED,Sorare,,,2450,Direct match or manual
SoulGame,1824.0,IMPORTED,SoulGame,,,1662,Direct match or manual
Sound Ventures,336.0,ENABLED,Sound Ventures,,,1462,Direct match or manual
South Park Commons,3784.0,ENABLED,South Park Commons,,,4135,Direct match or manual
SpaceSalad Studios,2400.0,IMPORTED,SpaceSalad Studios,,,2952,Direct match or manual
Spacecadet Ventures,11193.0,IS INCOMPLETE,Spacecadet Ventures,,,1326,Direct match or manual
Spark Capital,388.0,ENABLED,Spark Capital,,,4070,Direct match or manual
Sparkypants,1315.0,IMPORTED,Sparkypants,,,435,Direct match or manual
Sparrow Interactive,1337.0,IMPORTED,Sparrow Interactive,,,490,Direct match or manual
Spartan Group,418.0,ENABLED,Spartan Group,,,"2781, 3352, 3960, 3962, 4090",Direct match or manual
Speedinvest,9724.0,IS INCOMPLETE,Speedinvest,,,4046,Direct match or manual
Spektra Games,2356.0,IMPORTED,Spektra Games,,,4095,Direct match or manual
Spil Games,3081.0,IMPORTED,Spil Games,,,75,Direct match or manual
