TRANSACTION_ID,DATE,AMOUNT,ROUND,CATEGORY,STATUS,SOURCE,ORIGINAL_IG_INDEX,ORIGINAL_IG_ID,TARGET_COMPANY_ID,TARGET_COMPANY_NAME,INVESTORS_COUNT,INVESTOR_1_ID,INVESTOR_1_NAME,INVESTOR_1_ROLE,INVESTOR_2_ID,INVESTOR_2_NAME,INVESTOR_2_ROLE,INVESTOR_3_ID,INVESTOR_3_NAME,INVESTOR_3_ROLE,INVESTOR_4_ID,INVESTOR_4_NAME,INVESTOR_4_ROLE,INVESTOR_5_ID,INVESTOR_5_NAME,INVESTOR_5_ROLE,INVESTOR_6_ID,INVESTOR_6_NAME,INVESTOR_6_ROLE,INVESTOR_7_ID,INVESTOR_7_NAME,INVESTOR_7_ROLE,INVESTOR_8_ID,INVESTOR_8_NAME,INVESTOR_8_ROLE,INVESTOR_9_ID,INVESTOR_9_NAME,INVESTOR_9_ROLE,INVESTOR_10_ID,INVESTOR_10_NAME,INVESTOR_10_ROLE,INVESTOR_11_ID,INVESTOR_11_NAME,INVESTOR_11_ROLE,INVESTOR_12_ID,INVESTOR_12_NAME,INVESTOR_12_ROLE,INVESTOR_13_ID,INVESTOR_13_NAME,INVESTOR_13_ROLE,INVESTOR_14_ID,INVESTOR_14_NAME,INVESTOR_14_ROLE,INVESTOR_15_ID,INVESTOR_15_NAME,INVESTOR_15_ROLE,INVESTOR_16_ID,INVESTOR_16_NAME,INVESTOR_16_ROLE,INVESTOR_17_ID,INVESTOR_17_NAME,INVESTOR_17_ROLE,INVESTOR_18_ID,INVESTOR_18_NAME,INVESTOR_18_ROLE,INVESTOR_19_ID,INVESTOR_19_NAME,INVESTOR_19_ROLE,INVESTOR_20_ID,INVESTOR_20_NAME,INVESTOR_20_ROLE,INVESTOR_21_ID,INVESTOR_21_NAME,INVESTOR_21_ROLE,INVESTOR_22_ID,INVESTOR_22_NAME,INVESTOR_22_ROLE,INVESTOR_23_ID,INVESTOR_23_NAME,INVESTOR_23_ROLE
IG_746,14/03/2025,0.0,seed,Early-stage investment,IMPORTED,InvestGame,746,3948,[1354]TBC,VoicePatrol,1,[1355]TBC,GapMinder,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_747,17/03/2025,10.5,series a,Early-stage investment,IMPORTED,InvestGame,747,3949,[1356]TBC,Ephyra,1,[1357]TBC,Becker Ventures,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_748,17/03/2025,11.25,m&a control (incl. lbo/mbo),M&A,IMPORTED,InvestGame,748,3951,[1358]TBC,Mobalytics,1,[1359]TBC,ESL FACEIT Group,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_749,19/03/2025,0.0,series b,Late-stage investment,IMPORTED,InvestGame,749,3956,[1360]TBC,G2 Esports,4,[1361]TBC,WISE Ventures (lead),lead,[1362]TBC,Minnesota Vikings,participant,[1363]TBC,The Tornante,participant,[1364]TBC,Wilf family,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_750,25/03/2025,4.5,seed,Early-stage investment,IMPORTED,InvestGame,750,3960,[1365]TBC,Tarta Labs,5,[912]TBC,BITKRAFT Ventures (lead),lead,[1366]TBC,Spartan Group,participant,[1367]TBC,IVC,participant,[1144]TBC,HashKey Capital,participant,[1368]TBC,Gam3Girl Ventures,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_751,25/03/2025,2.0,undisclosed early-stage,Early-stage investment,IMPORTED,InvestGame,751,3962,[1369]TBC,Planetarium Labs,4,[924]TBC,Spartan Group,lead,[1370]TBC,Immutable,participant,[1167]TBC,Marblex,participant,[1371]TBC,Comma3 Ventures,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_752,25/03/2025,0.01,m&a control (incl. lbo/mbo),M&A,IMPORTED,InvestGame,752,3964,[1372]TBC,Sports Unity,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_753,31/03/2025,0.0,m&a control (incl. lbo/mbo),M&A,IMPORTED,InvestGame,753,3970,[1373]TBC,Twenty Eleven,1,[1374]TBC,JAFCO,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_754,02/04/2025,0.0,seed,Early-stage investment,IMPORTED,InvestGame,754,3975,[1375]TBC,Bit Cake Studio,4,[1376]TBC,Riot Games (lead),lead,[40]TBC,1Up Ventures,participant,[1377]TBC,Explorer.gg,participant,[1378]TBC,GameVentures,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_755,03/04/2025,12.0,series a,Early-stage investment,IMPORTED,InvestGame,755,3977,[1379]TBC,Ultra,1,[1380]TBC,NOIA Capital,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_756,08/04/2025,0.0,seed,Early-stage investment,IMPORTED,InvestGame,756,3982,[1381]TBC,Dragon Snacks Games,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_757,09/04/2025,1.8,seed,Early-stage investment,IMPORTED,InvestGame,757,3983,[1382]TBC,Eyeball Games,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_758,15/04/2025,2.2,seed,Early-stage investment,IMPORTED,InvestGame,758,3990,[1383]TBC,Sonix,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_759,28/04/2025,5.0,seed,Early-stage investment,IMPORTED,InvestGame,759,4005,[1384]TBC,True Gamers,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_760,07/05/2025,15.0,series a,Early-stage investment,IMPORTED,InvestGame,760,4011,[1385]TBC,Sett,4,[423]TBC,Bessemer Venture Partners (lead),lead,[1386]TBC,Saga VC,participant,[845]TBC,vgames,participant,[1387]TBC,Arcadia Gaming Advisors,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_761,13/05/2025,1.1,series a,Early-stage investment,IMPORTED,InvestGame,761,4022,[1122]TBC,Reflection Games,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_762,15/05/2025,10.0,seed,Early-stage investment,IMPORTED,InvestGame,762,4028,[1388]TBC,Cartwheel,6,[1389]TBC,Craft Ventures (lead),lead,[473]TBC,WndrCo,participant,[1079]TBC,Tirta Ventures,participant,[1390]TBC,Runway,participant,[636]TBC,Accel,participant,[1391]TBC,Khosla Human Ventures,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_763,19/05/2025,9.4,seed,Early-stage investment,IMPORTED,InvestGame,763,4034,[1392]TBC,WARP,1,[2]TBC,Undisclosed,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_764,22/05/2025,0.91,accelerator / grant,Early-stage investment,IMPORTED,InvestGame,764,4040,[1393]TBC,Nightless Games,1,[1394]TBC,Gamecity Hamburg,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_765,23/05/2025,1.12,seed,Early-stage investment,IMPORTED,InvestGame,765,4041,[1395]TBC,PlaySafe ID,3,[1396]TBC,Early Game Ventures (lead),lead,[1397]TBC,Hartmann Capital,participant,[939]TBC,Overwolf,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_766,23/05/2025,0.91,accelerator / grant,Early-stage investment,IMPORTED,InvestGame,766,4042,[1398]TBC,Tivola Games,1,[1394]TBC,Gamecity Hamburg,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_767,24/05/2025,0.91,accelerator / grant,Early-stage investment,IMPORTED,InvestGame,767,4043,[1399]TBC,gameXcite,1,[1394]TBC,Gamecity Hamburg,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_768,25/05/2025,0.82,accelerator / grant,Early-stage investment,IMPORTED,InvestGame,768,4045,[1400]TBC,Buckfish,1,[1394]TBC,Gamecity Hamburg,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_769,26/05/2025,13.0,seed,Early-stage investment,IMPORTED,InvestGame,769,4046,[1401]TBC,SpAItial,2,[1402]TBC,Earlybird Venture Capital (lead),lead,[1403]TBC,Speedinvest,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_770,26/05/2025,0.37,accelerator / grant,Early-stage investment,IMPORTED,InvestGame,770,4047,[1404]TBC,Symmetry Break Studio,1,[1394]TBC,Gamecity Hamburg,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_771,27/05/2025,13.6,series a,Early-stage investment,IMPORTED,InvestGame,771,4048,[1405]TBC,Amplitude Studios,2,[1406]TBC,Griffin Gaming Partners (lead),lead,[1407]TBC,Bpifrance,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_772,27/05/2025,0.34,accelerator / grant,Early-stage investment,IMPORTED,InvestGame,772,4049,[1408]TBC,Zinktank Labs,1,[1394]TBC,Gamecity Hamburg,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_773,27/05/2025,0.0,series a,Early-stage investment,IMPORTED,InvestGame,773,4051,[1409]TBC,SuperNgine,1,[1410]TBC,Smart Study Ventures,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_774,28/05/2025,12.0,seed,Early-stage investment,IMPORTED,InvestGame,774,4052,[1411]TBC,Diversion,3,[1412]TBC,Konvoy (lead),lead,[1413]TBC,New Era Capital Partners,participant,[1414]TBC,Y Combinator,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_775,28/05/2025,4.0,seed,Early-stage investment,IMPORTED,InvestGame,775,4053,[1415]TBC,Oncade,1,[1416]TBC,Andreessen Horowitz (a16z) Crypto Startup Accelerator (CSX),lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_776,29/05/2025,1.1,seed,Early-stage investment,IMPORTED,InvestGame,776,4055,[1417]TBC,Dream Park,2,[1418]TBC,Long Journey Ventures (lead),lead,[1419]TBC,Founders Inc,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_777,30/05/2025,0.0,seed,Early-stage investment,IMPORTED,InvestGame,777,4056,[1420]TBC,Beemi,1,[1421]TBC,Renew Capital,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_778,03/06/2025,11.0,series a,Early-stage investment,IMPORTED,InvestGame,778,4058,[1422]TBC,EmptyVessel,5,[1423]TBC,1AM Gaming (lead),lead,[1424]TBC,Black Phoenix Games,participant,[1425]TBC,Sisu Game Ventures,participant,[1426]TBC,Raptor Group,participant,[1427]TBC,Compute Ventures,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_779,03/06/2025,2.2,undisclosed early-stage,Early-stage investment,IMPORTED,InvestGame,779,4059,[1428]TBC,MyDearest,4,[1429]TBC,FFG Venture Business Partners,lead,[1430]TBC,Isaac,participant,[1431]TBC,Awa Bank Capital,participant,[1432]TBC,Asahi Shimbun,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_780,03/06/2025,4.0,seed,Early-stage investment,IMPORTED,InvestGame,780,4061,[1433]TBC,Launcher Capital,1,[1434]TBC,Andreessen Horowitz (a16z) Crypto Startup Accelerator (CSX) (lead),lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_781,04/06/2025,2.0,seed,Early-stage investment,IMPORTED,InvestGame,781,4062,[1435]TBC,Shards Protocol,6,[1169]TBC,Animoca Brands,lead,[1436]TBC,Kyber Ventures,participant,[818]TBC,Yield Guild Games,participant,[1437]TBC,based.VC,participant,[1438]TBC,Zaiken Capital,participant,[1439]TBC,Firex Capital,participant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_782,04/06/2025,0.2,accelerator / grant,Early-stage investment,IMPORTED,InvestGame,782,4063,[1440]TBC,Cloth Cat,1,[1441]TBC,The Games Scale Up Fund for Wales,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_783,04/06/2025,0.2,accelerator / grant,Early-stage investment,IMPORTED,InvestGame,783,4064,[1442]TBC,COPA Gaming,1,[1441]TBC,The Games Scale Up Fund for Wales,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IG_784,04/06/2025,0.2,accelerator / grant,Early-stage investment,IMPORTED,InvestGame,784,4065,[1443]TBC,Goldborough Studios,1,[1441]TBC,The Games Scale Up Fund for Wales,lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
