id,status,name,also_known_as,aliases,type,founded,hq_country,hq_region,ownership,sector,segment,features,specialization,aum,parent_company,transactions_count,was_added,created_by,was_changed,modified_by,search_index,arc_website,IG_ID,investor_role
,TO BE ENRICHED,Exnetwork Capital,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Exnetwork Capital,,1459,participant
,TO BE ENRICHED,Expert Dojo,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Expert Dojo,,"3102, 3923","participant, participant"
,TO BE ENRICHED,Explorer.gg,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Explorer.gg,,3975,participant
,IMPORTED,Extra Dimension Games,,,Strategic / CVC,2018,Canada,North America,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-09-05 01:23:33,,2025-09-05 01:23:33,,"Extra Dimension Games, Canada, North America",https://extradimension.games/ ,14,TARGET
,IMPORTED,Eyeball Games,,,Strategic / CVC,2022,Singapore,Southeast Asia,Private,Platform & Tech,Blockchain-powered,"AI/ML, Blockchain/web3",Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"Eyeball Games, Singapore, Southeast Asia",https://www.eyeball.games/,3983,TARGET
,TO BE ENRICHED,Ezekiel Elliott,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Ezekiel Elliott,,2215,participant
,IMPORTED,F2K,,,Strategic / CVC,2015,USA,North America,Private,Esports,Esports,,Generalist,,,0,2025-09-05 01:23:33,,2025-09-05 01:23:33,,"F2K, USA, North America",https://f2k.gg/,249,TARGET
,TO BE ENRICHED,FFG Venture Business Partners,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,FFG Venture Business Partners,,4059,participant
,TO BE ENRICHED,FOTA,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,FOTA,,1973,participant
,IMPORTED,FYX Gaming,,,Strategic / CVC,2018,USA,North America,Private,Platform & Tech,Blockchain-powered,Blockchain/web3,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"FYX Gaming, USA, North America",https://www.fyxgaming.com/,2129,TARGET
,IMPORTED,FaZe Clan,,,Strategic / CVC,2010,USA,North America,Private,Esports,Esports,,Generalist,,,1,2025-09-05 01:23:33,,2025-09-05 01:23:33,,"FaZe Clan, USA, North America",https://fazeclan.com/,"164, 1285, 2829","TARGET, TARGET, TARGET"
,ENABLED,FaZe Media,,,Strategic / CVC,2024,USA,North America,Private,Esports,Esports,,Generalist,,FaZe's founders,0,2025-09-05 01:23:36,,2025-09-05 01:23:36,,"FaZe Media, USA, North America",https://www.faze-media.com/,3404,TARGET
,TO BE ENRICHED,Faad Network,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Faad Network,,2880,lead
,TO BE ENRICHED,Fabien Causeur,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Fabien Causeur,,1536,participant
,TO BE ENRICHED,Faculty Group,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Faculty Group,,3356,participant
,IMPORTED,Fahy Studios,,,Strategic / CVC,2022,Saudi Arabia,MENA,Private,Gaming (Content & Development Publishing),Mobile,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"Fahy Studios, Saudi Arabia, MENA",https://www.fahy.gg/,4148,TARGET
,TO BE ENRICHED,Failup Ventures,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Failup Ventures,,4081,lead
,IMPORTED,Far From Home,,,Strategic / CVC,2020,Poland,Eastern Europe,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,2025-09-05 01:23:36,,2025-09-05 01:23:36,,"Far From Home, Poland, Eastern Europe",https://www.farfromhomegames.com/en,3348,TARGET
,IMPORTED,Fast Travel Games,,,Strategic / CVC,2016,Sweden,Nordic Countries,Private,Gaming (Content Development/Publishing),VR/AR,,Generalist,,,0,2025-09-05 01:23:36,,2025-09-05 01:23:36,,"Fast Travel Games, Sweden, Nordic Countries",https://www.fasttravelgames.com/,3023,TARGET
,IMPORTED,Fateless Games,,,Strategic / CVC,2023,United States,North America,Private,Gaming (Content & Development Publishing),PC/Console,,Generalist,,,0,2025-09-05 01:23:36,,2025-09-05 01:23:36,,"Fateless Games, United States, North America",https://www.fateless.gg/,"3530, 4158","TARGET, TARGET"
,TO BE ENRICHED,Felix LaHaye,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Felix LaHaye,,3102,participant
,TO BE ENRICHED,Fenbushi Capital,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Fenbushi Capital,,"2482, 3331, 3356, 3358","participant, lead, participant, participant"
,IMPORTED,Filuta AI,,,Strategic / CVC,2022,Czech Republic,Eastern Europe,Private,Platform & Tech,Platform & Tech,AI/ML,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"Filuta AI, Czech Republic, Eastern Europe",https://filuta.ai/,4093,TARGET
,TO BE ENRICHED,Fingersoft,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Fingersoft,,218,participant
,TO BE ENRICHED,Firex Capital,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Firex Capital,,4062,participant
,IMPORTED,FitNot Games,,,Strategic / CVC,2019,Egypt,MENA,Private,Gaming (Content & Development Publishing),PC/Console,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"FitNot Games, Egypt, MENA",http://www.fitnotgames.com/,4174,TARGET
,IMPORTED,Fitchin,,,Strategic / CVC,2021,USA,North America,Private,Platform & Tech,Blockchain-powered,Blockchain/web3,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"Fitchin, USA, North America",https://fitchin.gg/en,2213,TARGET
,IMPORTED,Flashman Games and Bingfish - portfolio of 4 Games (IP sale),,,Strategic / CVC,1800,notenoughinformation,,Private,Gaming (Content & Development Publishing),Mobile,,Generalist,,,0,2025-09-05 01:23:33,,2025-09-05 01:23:33,,"Flashman Games and Bingfish - portfolio of 4 Games (IP sale), notenoughinformation",,276,TARGET
,IMPORTED,Flex Fantasy,,,Strategic / CVC,2021,USA,North America,Private,Other,Cash-related,Cash/Skill-based/RMG,Generalist,,,0,2025-09-05 01:23:36,,2025-09-05 01:23:36,,"Flex Fantasy, USA, North America",https://www.flex.fan/,3139,TARGET
,IMPORTED,Flexion Mobile,,,Strategic / CVC,2007,United Kingdom,British Isles,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,2,2025-09-05 01:23:34,,2025-09-05 01:23:34,,"Flexion Mobile, United Kingdom, British Isles",http://www.flexionmobile.com,"618, 2489","TARGET, TARGET"
,TO BE ENRICHED,Flick Shot,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Flick Shot,,2482,participant
,IMPORTED,Fnatic,,,Strategic / CVC,2004,United Kingdom,British Isles,Private,Esports,Esports,,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"Fnatic, United Kingdom, British Isles",http://www.fnatic.com,2491,TARGET
,IMPORTED,Focus Entertainment - Hardspace: Shipbreaker (IP sale),,,Strategic / CVC,2020,France,Western Europe,Private,Gaming (Content & Development Publishing),PC/Console,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"Focus Entertainment - Hardspace: Shipbreaker (IP sale), France, Western Europe",https://www.focus-entmt.com/en/games/hardspace-shipbreaker,4157,TARGET
,TO BE ENRICHED,Focus Home Entertainment (PulluP Entertainment),,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Focus Home Entertainment (PulluP Entertainment),,995,lead
,TO BE ENRICHED,Folius Ventures,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Folius Ventures,,"1851, 4134","participant, lead"
,IMPORTED,Football.Fun,,,Strategic / CVC,2019,United Kingdom,Western Europe,Private,Platform & Tech,Platform & Tech,Blockchain/web3,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"Football.Fun, United Kingdom, Western Europe",https://www.football.fun/,4121,TARGET
,IMPORTED,ForeVR,ForeVR Games,,Strategic / CVC,2020,USA,North America,Private,Gaming (Content Development/Publishing),VR/AR,,Generalist,,,0,2025-09-05 01:23:34,,2025-09-05 01:23:34,,"ForeVR, USA, North America",http://forevr.tech/,1286,TARGET
,IMPORTED,ForeVR,ForeVR Games,,Strategic / CVC,2020,USA,North America,Private,Gaming (Content Development/Publishing),VR/AR,,Generalist,,,0,2025-09-05 01:23:34,,2025-09-05 01:23:34,,"ForeVR, USA, North America",,640,TARGET
,IMPORTED,ForeVR,ForeVR Games,,Strategic / CVC,2020,USA,North America,Private,Gaming (Content Development/Publishing),VR/AR,,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"ForeVR, USA, North America",http://forevrgames.com,2419,TARGET
,TO BE ENRICHED,Formless Capital,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Formless Capital,,1701,participant
,TO BE ENRICHED,ForsVC,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,ForsVC,,4152,lead
,TO BE ENRICHED,Forte,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Forte,,1696,lead
,TO BE ENRICHED,Founder,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Founder,,3922,lead
,TO BE ENRICHED,Founder One,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Founder One,,3078,lead
,TO BE ENRICHED,Founders Inc,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Founders Inc,,4055,participant
,TO BE ENRICHED,Fourth Revolution Capital,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Fourth Revolution Capital,,2693,participant
,IMPORTED,Fragbite Group,STO: FRAG,Fragbite Group (STO: FRAG),Strategic / CVC,2015,Sweden,Nordic Countries,Private,Platform & Tech,Blockchain-powered,Blockchain/web3,Generalist,,,3,2025-09-05 01:23:36,,2025-09-05 01:23:36,,"Fragbite Group, Sweden, Nordic Countries",http://www.fragbitegroup.com/,3419,TARGET
,TO BE ENRICHED,Framework Ventures,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Framework Ventures,,"1982, 2693","participant, lead"
,TO BE ENRICHED,Francisco Partners,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Francisco Partners,,"1601, 2447","lead, lead"
,TO BE ENRICHED,FreakOut Shinsei Fund,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,FreakOut Shinsei Fund,,"2780, 2784","participant, participant"
,IMPORTED,FreeHit Fantasy Sports,,,Strategic / CVC,2020,India,Southern and Central_Asia,Private,Other,Cash-related,Cash/Skill-based/RMG,Generalist,,,0,2025-09-05 01:23:34,,2025-09-05 01:23:34,,"FreeHit Fantasy Sports, India, Southern and Central_Asia",,391,TARGET
,IMPORTED,FreeMind,,,Strategic / CVC,2000,Poland,Eastern Europe,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,2025-09-05 01:23:36,,2025-09-05 01:23:36,,"FreeMind, Poland, Eastern Europe",https://freemind.games/,2992,TARGET
,IMPORTED,Freeaim,,,Strategic / CVC,2021,United Kingdom,British Isles,Private,Platform & Tech,Tech,,Generalist,,,0,2025-09-05 01:23:36,,2025-09-05 01:23:36,,"Freeaim, United Kingdom, British Isles",https://www.freeaim.com/,3470,TARGET
,TO BE ENRICHED,Frekaz Group,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Frekaz Group,,3923,participant
,IMPORTED,Fruitlab,,,Strategic / CVC,2018,United Kingdom,British Isles,Private,Platform & Tech,Blockchain-powered,Blockchain/web3,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"Fruitlab, United Kingdom, British Isles",http://www.fruitlab.com/,2425,TARGET
,IMPORTED,Fruits Games,,,Strategic / CVC,2015,China,Eastern Asia,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,2025-09-05 01:23:34,,2025-09-05 01:23:34,,"Fruits Games, China, Eastern Asia",,546,TARGET
,TO BE ENRICHED,Full Stack Ventures,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Full Stack Ventures,,3102,participant
,TO BE ENRICHED,FunPlus Ventures,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,FunPlus Ventures,,1176,participant
,IMPORTED,Funganomics,NFT Group,Funganomics (NFT Group),Strategic / CVC,2021,United Kingdom,British Isles,Private,Platform & Tech,Blockchain-powered,Blockchain/web3,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"Funganomics, United Kingdom, British Isles",https://funganomics.com/,1541,TARGET
,IMPORTED,Funlab Games,,,Strategic / CVC,2018,Turkey,MENA,Private,Gaming (Content & Development Publishing),Mobile,,Generalist,,,0,2025-09-05 01:23:35,,2025-09-05 01:23:35,,"Funlab Games, Turkey, MENA",https://funlabmobile.com/,1755,TARGET
,IMPORTED,Furai,,,Strategic / CVC,2022,Japan,Eastern Asia,Private,Platform & Tech,Blockchain-powered,Blockchain/web3,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"Furai, Japan, Eastern Asia",https://www.furai.jp/en,3841,TARGET
,TO BE ENRICHED,Fusion Fund,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Fusion Fund,,140,participant
,TO BE ENRICHED,Future Capital,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Future Capital,,2355,participant
,TO BE ENRICHED,Future Play,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,Future Play,,3178,lead
,IMPORTED,G-devs,,,Strategic / CVC,2011,Poland,Eastern Europe,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,2025-09-05 01:23:36,,2025-09-05 01:23:36,,"G-devs, Poland, Eastern Europe",https://g-devs.com/,3333,TARGET
,IMPORTED,G2 Esports,,,Strategic / CVC,2014,Germany,Western Europe,Private,Esports,Esports,,Generalist,,,1,2025-09-05 01:23:37,,2025-09-05 01:23:37,,"G2 Esports, Germany, Western Europe",https://g2esports.com/?srsltid=AfmBOop8D0LkbC0V4EP-h4PbgD5yvCoSeRgRXckC5Ttlov8T1kspAWJ7,3956,TARGET
,TO BE ENRICHED,GAMURS Group,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,GAMURS Group,,550,lead
,TO BE ENRICHED,GBV Capital,,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,GBV Capital,,3356,participant
,TO BE ENRICHED,GCL Global Holdings (NASDAQ: GCL),,,Investor,,,,Private,,,,Generalist,,,0,2025-09-05 01:23:37,,2025-09-05 01:23:37,,GCL Global Holdings (NASDAQ: GCL),,3891,lead
